dataset,method,config,accuracy,kappa_m,n_instances,filename
shuttle,NeuralARTE,abc_proj_adwin_dir,0.988362,0.945622,57999,NeuralARTE_shuttle_abc_proj_adwin_dir_s123456789_20260405_172252.csv
shuttle,NeuralARTE,abc_proj_nodrift,0.990931,0.957625,57999,NeuralARTE_shuttle_abc_proj_nodrift_s123456789_20260406_152948.csv
shuttle,NeuralARTE,current_adwin_dir,0.990758,0.956819,57999,NeuralARTE_shuttle_current_adwin_dir_s123456789_20260405_192508.csv
shuttle,NeuralARTE,current_nodrift,0.991603,0.960767,57999,NeuralARTE_shuttle_current_nodrift_s123456789_20260406_084324.csv
agrawal_a,SoftReset,soft_reset_abc_proj_rl1_adwin,0.878949,0.743373,1000000,NeuralARTE_agrawal_a_soft_reset_abc_proj_rl1_adwin_s123456789_20260418_214643.csv
agrawal_g,SoftReset,soft_reset_abc_proj_rl1_adwin,0.808088,0.593178,1000000,NeuralARTE_agrawal_g_soft_reset_abc_proj_rl1_adwin_s123456789_20260418_214644.csv
airlines,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.588374,0.075916,539383,NeuralARTE_airlines_soft_reset_abc_cnn_rl1_adwin_s123456789_20260418_221440.csv
airlines,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.588665,0.076570,539383,NeuralARTE_airlines_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260419_011918.csv
airlines,SoftReset,soft_reset_abc_proj_rl1_adwin,0.590586,0.080882,539383,NeuralARTE_airlines_soft_reset_abc_proj_rl1_adwin_s123456789_20260417_233838.csv
airlines,SoftReset,soft_reset_abc_rl1_adwin,0.590901,0.081589,539383,NeuralARTE_airlines_soft_reset_abc_rl1_adwin_s123456789_20260406_013102.csv
covtype,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.893059,0.791294,581012,NeuralARTE_covtype_soft_reset_abc_cnn_rl1_adwin_s123456789_20260418_004614.csv
covtype,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.899575,0.804011,581012,NeuralARTE_covtype_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_211201.csv
covtype,SoftReset,soft_reset_abc_proj_rl1_adwin,0.897247,0.799467,581012,NeuralARTE_covtype_soft_reset_abc_proj_rl1_adwin_s123456789_20260417_233822.csv
